Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2008-10-08,Sell Dot,104.99,714,99967.14,-25021.77,-25.03,11749.58,11.75,-25014.28,-25.02,-25021.77,-25.02
1,Entry long,2007-04-17,THOR Long,140.01,714,99967.14,-25021.77,-25.03,11749.58,11.75,-25014.28,-25.02,-25021.77,-25.02
2,Exit long,2018-07-17,Sell Dot,272.99,669,74934.69,107669.87,143.67,116779.84,155.83,-6570.38,-8.77,82648.09,82.65
2,Entry long,2010-04-06,THOR Long,112.01,669,74934.69,107669.87,143.67,116779.84,155.83,-6570.38,-8.77,82648.09,82.65
3,Exit long,2020-02-27,Sell Dot,307.99,579,182390.79,-4100.65,-2.25,13489.83,7.40,-4082.82,-2.24,78547.44,78.55
3,Entry long,2019-12-26,THOR Long,315.01,579,182390.79,-4100.65,-2.25,13489.83,7.40,-4082.82,-2.24,78547.44,78.55
4,Exit long,2020-11-05,Sell Dot,342.99,637,178366.37,40078.57,22.47,49024.79,27.48,-24.21,-0.01,118626.02,118.63
4,Entry long,2020-04-27,THOR Long,280.01,637,178366.37,40078.57,22.47,49024.79,27.48,-24.21,-0.01,118626.02,118.63
5,Exit long,2021-12-27,Sell Dot,468.99,612,218490.12,68481.21,31.34,69580.91,31.84,-27.97,-0.01,187107.22,187.11
5,Entry long,2020-12-01,THOR Long,357.01,612,218490.12,68481.21,31.34,69580.91,31.84,-27.97,-0.01,187107.22,187.11
6,Exit long,2022-09-21,Sell Dot,384.99,683,286866.83,-23973.64,-8.36,6589.58,2.30,-23947.35,-8.35,163133.58,163.13
6,Entry long,2022-08-12,THOR Long,420.01,683,286866.83,-23973.64,-8.36,6589.58,2.30,-23947.35,-8.35,163133.58,163.13
7,Exit long,2024-08-05,Sell Dot,524.99,659,262947.59,82959.93,31.55,109268.85,41.55,-13871.88,-5.28,246093.52,246.09
7,Entry long,2022-11-30,THOR Long,399.01,659,262947.59,82959.93,31.55,109268.85,41.55,-13871.88,-5.28,246093.52,246.09
8,Exit long,2025-01-21,Sell Dot,594.99,595,345700.95,8248.13,2.39,15911.43,4.60,-7394.72,-2.14,254341.64,254.34
8,Entry long,2024-11-06,THOR Long,581.01,595,345700.95,8248.13,2.39,15911.43,4.60,-7394.72,-2.14,254341.64,254.34
9,Exit long,2025-02-27,Sell Dot,594.99,581,349767.81,-4148.17,-1.19,6309.54,1.80,-4113.6,-1.18,250193.47,250.19
9,Entry long,2025-02-25,THOR Long,602.01,581,349767.81,-4148.17,-1.19,6309.54,1.80,-4113.6,-1.18,250193.47,250.19
10,Exit long,2025-11-26,Sell Dot,671.99,649,349817.49,86225.43,24.65,96263.64,27.52,-41.47,-0.01,336418.9,336.42
10,Entry long,2025-04-24,THOR Long,539.01,649,349817.49,86225.43,24.65,96263.64,27.52,-41.47,-0.01,336418.9,336.42
